,income,income_index,disparity,capacity,workload,total,actual,actual_avg
157,4.641588833612782e-06,3,1,0.0071968567300115215,4.641588833612782e-06,146.37714545681249,84.35714985508015,2.6749476742478486e-06
158,4.641588833612782e-06,3,1,0.009540954763499945,4.641588833612782e-06,146.37714545681249,86.09029591760726,2.729905375368064e-06
159,4.641588833612782e-06,3,1,0.012648552168552958,4.641588833612782e-06,146.37714545681249,88.10806420741146,2.7938883881091913e-06
160,4.641588833612782e-06,3,1,0.016768329368110083,4.641588833612782e-06,146.37714545681249,90.46805684191797,2.8687232636326095e-06
161,4.641588833612782e-06,3,1,0.022229964825261943,4.641588833612782e-06,146.37714545681249,93.24481773779476,2.956773774029514e-06
162,4.641588833612782e-06,3,1,0.029470517025518096,4.641588833612782e-06,146.37714545681249,96.53999769049764,3.061263244878794e-06
163,4.641588833612782e-06,3,1,0.03906939937054617,4.641588833612782e-06,146.37714545681249,100.50268453336264,3.1869192203628437e-06
164,4.641588833612782e-06,3,1,0.0517947467923121,4.641588833612782e-06,146.37714545681249,105.36328673609013,3.3410479051271603e-06
165,4.641588833612782e-06,3,1,0.06866488450043001,4.641588833612782e-06,146.37714545681249,111.54389646244242,3.5370337538826237e-06
166,4.641588833612782e-06,3,1,0.09102981779915217,4.641588833612782e-06,146.37714545681249,120.01186259964403,3.8055511986188493e-06
167,4.641588833612782e-06,3,1,0.1206792640639329,4.641588833612782e-06,146.37714545681249,135.31401130368164,4.290779150928515e-06
168,4.641588833612782e-06,3,1,0.15998587196060574,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
169,4.641588833612782e-06,3,1,0.21209508879201905,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
170,4.641588833612782e-06,3,1,0.28117686979742307,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
171,4.641588833612782e-06,3,1,0.3727593720314938,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
172,4.641588833612782e-06,3,1,0.49417133613238334,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
173,4.641588833612782e-06,3,1,0.655128556859551,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
174,4.641588833612782e-06,3,1,0.868511373751352,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
175,4.641588833612782e-06,3,1,1.151395399326447,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
176,4.641588833612782e-06,3,1,1.5264179671752334,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
177,4.641588833612782e-06,3,1,2.023589647725158,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
178,4.641588833612782e-06,3,1,2.6826957952797246,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
179,4.641588833612782e-06,3,1,3.5564803062231287,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
180,4.641588833612782e-06,3,1,4.714866363457395,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
181,4.641588833612782e-06,3,1,6.25055192527397,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
182,4.641588833612782e-06,3,1,8.286427728546842,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
183,4.641588833612782e-06,3,1,10.985411419875572,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
184,4.641588833612782e-06,3,1,14.563484775012444,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
185,4.641588833612782e-06,3,1,19.306977288832496,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
186,4.641588833612782e-06,3,1,25.595479226995334,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
187,4.641588833612782e-06,3,1,33.9322177189533,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
188,4.641588833612782e-06,3,1,44.98432668969444,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
189,4.641588833612782e-06,3,1,59.636233165946365,4.641588833612782e-06,146.37714545681249,146.27688249642873,4.63840951599533e-06
